+-----+-----------------------+-----------+----------------------------+-----+
| d   | G                     | ell       | field                      | ind |
| 48  | 12_2.{\rm PSL}_{3}(4) | 0,7       | z12, b5                    | 0   |
| 48  | 12_2.{\rm PSL}_{3}(4) | 5         | z12                        | 0   |
| 48  | 3.{\rm PSU}_{3}(5)    | ! 3,5     | z3                         | 0   |
| 48  | 2.{\rm PSp}_{6}(2)    | ! 2,7     |                            | 1   |
| 48  | {\rm O}_{8}^+(2)      | 3         |                            | 1   |
| 48  | 2.Sz(8)               | 5         | c13                        | 1   |
| 48  | 12.{\rm M}_{22}       | 5         | z12, b11                   | 0   |
| 49  | {\rm PSp}_{4}(4)      | 17        |                            | 1   |
| 49  | {\rm PSp}_{6}(2)      | 3         |                            | 1   |
| 49  | {\rm M}_{22}          | 3         | b11                        | 0   |
| 49  | {\rm J}_1             | 11        | b5, c19                    | 1   |
| 49  | {\rm HS}              | 3         | i5, b11                    | 0   |
| 50  | {\rm PSp}_{4}(4)      | ! 2,17    |                            | 1   |
| 50  | {\rm PSp}_{8}(2)      | 3         |                            | 1   |
| 50  | {\rm O}_{8}^+(2)      | ! 2,3     |                            | 1   |
| 50  | {\rm O}_{8}^-(2)      | 3         |                            | 1   |
| 50  | 2.{\rm J}_2           | 3         | b5                         | -1  |
| 50  | 2.{\rm J}_2           | ! 2,3     | i1                         | 0   |
| 50  | {\rm He}              | 7         |                            | 1   |
